date,close
2023-07-03,192.4600067138672
2023-07-05,191.3300018310547
2023-07-06,191.80999755859375
2023-07-07,190.67999267578125
2023-07-10,188.61000061035156
2023-07-11,188.0800018310547
2023-07-12,189.77000427246094
2023-07-13,190.5399932861328
2023-07-14,190.69000244140625
2023-07-17,193.99000549316406
2023-07-18,193.72999572753906
2023-07-19,195.10000610351562
2023-07-20,193.1300048828125
2023-07-21,191.94000244140625
2023-07-24,192.75
2023-07-25,193.6199951171875
2023-07-26,194.5
2023-07-27,193.22000122070312
2023-07-28,195.8300018310547
2023-07-31,196.4499969482422
2023-08-01,195.61000061035156
2023-08-02,192.5800018310547
2023-08-03,191.1699981689453
2023-08-04,181.99000549316406
2023-08-07,178.85000610351562
2023-08-08,179.8000030517578
2023-08-09,178.19000244140625
